,length,diameter,height,wholeWeight,shuckedWeight,visceraWeight,shellWeight,classRings,sex
0,-1.0363030178973607,-0.8804818921104447,-1.6204614072349754,-1.01494824158253,-0.9350415955317983,-1.0920997696411345,-1.0090071580395084,1.419501829497582,1
1,-2.0590597994398365,-2.065731060593185,-1.764168025357729,-1.6282203918986713,-1.4957632934195066,-1.5926496572029079,-1.6206691796649537,-1.224812459404954,1
3,-1.182411129546286,-0.8804818921104447,-0.7582216984984547,-1.010696788200789,-0.9754135577797133,-0.9681540831972668,-0.9707782816879179,-0.23319460106650305,1
8,-0.8414922023654611,-0.8212194336863076,-0.7582216984984547,-1.0245140116914473,-0.9709277841966116,-0.9824555085561747,-0.8943205289847372,-0.56373388717932,1
11,-1.279816537312236,-1.058269267382856,-1.189341552866715,-1.2445267241965448,-1.1907306897685932,-1.2827854410932384,-1.1236937870942794,-0.23319460106650305,1
12,-0.695384090716536,-0.7026945168380334,-0.4708084622529474,-0.956490757583591,-0.96644201061351,-1.1493054710767658,-0.7031761472267856,0.09734468504631395,1
15,-0.5979786829505858,-0.4656446831414851,-0.614515080375701,-0.6950263746065186,-0.7847681804978924,-0.7870026953177679,-0.32088738371088216,0.42788397115913096,1
18,-1.9129516877909112,-1.7101563100483632,-2.0515812616032356,-1.5644485911725563,-1.5069777273772609,-1.6450882168522367,-1.3912959215554117,-1.224812459404954,1
19,-1.0850057217803357,-1.4138440179276779,-1.476754789112222,-1.2976698914683074,-1.177273369019288,-1.3399911425288697,-1.2766092925006407,-0.56373388717932,1
20,-2.0103570955568615,-1.8879436853207738,-1.6204614072349754,-1.5857058580812613,-1.5137063877519135,-1.4639368289727375,-1.5824403033133634,0.09734468504631395,1
27,0.27866998694296413,0.06771744267574803,-0.32710184413019383,-0.1285202114895284,-0.345162369353929,0.1759599455153576,-0.015056372898159115,0.42788397115913096,1
28,0.4247780985918893,0.4232921932205699,0.8225511008518333,-0.1168287146897405,-0.17470297319606604,0.032945691926279386,0.0996302561566116,1.419501829497582,1
29,0.13256187529403898,-0.1693323910208003,-0.32710184413019383,-0.2720067631232875,-0.1791887467791677,0.1092199605071211,-0.6267183945236048,0.09734468504631395,1
30,0.18126457917701405,0.3640297347964328,0.3914312464835733,0.012840613453360569,-0.17694585998761664,0.2522342140961993,0.36723239061774426,-0.23319460106650305,1
32,1.00921054518759,1.0159167774619406,0.3914312464835733,0.7366505516947685,0.5318063661424465,1.3534439667321003,0.5201478960241054,2.411119687836033,1
35,-0.9388976101314106,-0.9990068089587189,-1.3330481709894686,-1.0882858124175627,-0.9238271615740442,-0.8728112474712149,-1.20015153979746,-0.8942731732921371,1
39,-2.0103570955568615,-1.7694187684725002,-1.764168025357729,-1.4113962694298796,-1.341004104802499,-1.2351140232302127,-1.4677536742585924,-0.56373388717932,1
46,-0.8901949062484361,-0.8212194336863076,-0.9019283166212082,-0.8757131433305116,-0.6277661050893343,0.1092199605071211,-1.0854649107426888,-0.56373388717932,1
51,-1.572032760610086,-1.4138440179276779,-1.6204614072349754,-1.463476573356207,-1.34324699159405,-1.483005396117948,-1.3912959215554117,-1.224812459404954,1
52,-0.744086794599511,-0.9397443505345817,-0.614515080375701,-0.956490757583591,-0.77803952012324,-1.1397711875041605,-0.9325494053363276,-0.23319460106650305,1
54,-1.5233300567271109,-1.532368934775952,-1.476754789112222,-1.2891669847048255,-1.1660589350615342,-1.182675463580884,-1.3148381688522313,-1.224812459404954,1
56,-1.1337084256633108,-1.058269267382856,-0.9019283166212082,-1.1669376999797711,-1.0808292369826025,-1.1445383292904632,-1.1236937870942794,-0.8942731732921371,1
57,-0.8901949062484361,-0.6434320584138964,-0.4708084622529474,-0.8544558764218065,-0.7017813692105116,-0.9109483817616357,-0.8560916526331468,-0.8942731732921371,1
60,-1.0850057217803357,-1.117531725806993,-1.3330481709894686,-1.232835227396757,-1.1346585199798225,-0.9824555085561747,-1.1236937870942794,-1.224812459404954,1
61,-0.5492759790676107,-0.40638222471734803,-1.189341552866715,-0.7789925788959036,-0.5739368220921142,-0.5295770388574275,-0.8178627762815567,-0.56373388717932,1
63,-1.3285192411952111,-1.3545815595035406,-1.6204614072349754,-1.3029842081954839,-1.177273369019288,-1.2923197246658438,-1.3912959215554117,-1.224812459404954,1
64,-0.40316786741868554,-0.4656446831414851,-0.9019283166212082,-0.8746502799850765,-0.8924267464923326,-0.8013041206766758,-0.7414050235783759,-0.8942731732921371,1
